SquareFootage,Bedrooms,HouseAge,DistanceFromCenterKm,HasGarage,Price
3674.0,4.0,23.0,3.6558801264723906,1.0,359854.60320981283
1360.0,2.0,30.0,27.60209368840504,1.0,83816.29410581061
1794.0,3.0,5.0,4.967740296649881,1.0,194971.15004079978
1630.0,4.0,1.0,28.55688326080327,0.0,100542.51262723663
1595.0,5.0,19.0,13.934167415780717,1.0,170922.83456898062
3592.0,1.0,27.0,6.36885493631997,1.0,318336.73876171256
2138.0,5.0,10.0,16.715127473972387,1.0,195290.3961182259
2669.0,4.0,3.0,26.315429240415842,0.0,188331.25943284997
966.0,4.0,14.0,22.234521705877274,0.0,64818.97216257494
1738.0,4.0,5.0,24.39027328798204,0.0,155390.75205682704
830.0,5.0,48.0,20.104717634610804,0.0,34794.6766129882
1982.0,4.0,29.0,21.076020371017723,1.0,161921.64581308299
2635.0,5.0,37.0,25.62667389539426,1.0,200844.64262915988
3944.0,4.0,1.0,8.240372256916391,1.0,363033.4873568717
3671.0,3.0,14.0,15.193323945651073,1.0,295457.5409054064
3419.0,4.0,10.0,7.415073812768465,1.0,317875.1675406586
630.0,5.0,7.0,29.642372231902762,1.0,54579.04397138626
2185.0,2.0,25.0,28.377720850911786,1.0,150976.80331599578
3880.0,4.0,44.0,2.143377529686671,0.0,349305.96594820597
1269.0,2.0,43.0,21.461680002954964,0.0,64186.208415521854
2891.0,3.0,4.0,27.832201205054307,0.0,207940.15701279903
2015.0,1.0,5.0,6.236685008692673,1.0,204429.76085004507
3985.0,3.0,25.0,17.470411686026253,1.0,344657.86678986164
3353.0,4.0,3.0,27.549160630053212,0.0,239404.8160290296
2933.0,2.0,18.0,1.9844333789881663,1.0,277630.70710359514
1715.0,2.0,19.0,21.22518775015836,0.0,126830.26951034648
1455.0,5.0,32.0,9.623121213803973,1.0,136933.27669878327
2824.0,2.0,19.0,27.80748966591938,0.0,223519.39598212132
1684.0,5.0,48.0,29.160689109795666,0.0,85037.83337900016
959.0,1.0,11.0,28.383728184289584,1.0,62987.407192004524
3885.0,4.0,46.0,14.752212283066449,0.0,287617.06578294985
521.0,5.0,0.0,25.99923687869009,0.0,33953.31670030653
2800.0,1.0,25.0,25.491932557517043,0.0,176122.84557421357
1247.0,2.0,13.0,10.253913724054414,1.0,130470.73401280715
3404.0,2.0,37.0,25.038548750369642,1.0,257098.78002153846
974.0,1.0,36.0,2.073221406749286,0.0,91156.69520637293
1582.0,2.0,10.0,18.291826475979537,1.0,158947.03900832412
3058.0,1.0,35.0,7.670256281343389,1.0,308576.9664077672
2547.0,5.0,12.0,4.496439687541086,0.0,251237.56233517852
3247.0,5.0,42.0,3.2316428472470653,1.0,313749.80416190816
1475.0,1.0,2.0,21.19237450046605,0.0,113515.10735608445
2306.0,5.0,32.0,10.856373949273918,0.0,228483.450341081
689.0,5.0,5.0,22.018236374334084,1.0,78825.57410142492
3505.0,5.0,49.0,2.8953338831693287,0.0,295078.7445556165
3234.0,3.0,9.0,10.1434197970877,1.0,287094.6330243513
3505.0,4.0,4.0,16.64524747888478,1.0,316394.49835186213
1062.0,2.0,22.0,23.930971780329944,0.0,48841.38137320194
2399.0,3.0,9.0,10.243822585030028,1.0,269138.67158440995
1767.0,5.0,43.0,19.150849916673263,0.0,151055.3865601347
3379.0,1.0,1.0,26.693354698849426,1.0,248924.34348459778
2028.0,5.0,12.0,18.86003245728683,1.0,180398.50107490184
