Age,Fare,SibSp,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Survived
0.11434444974305867,-0.7280805984694239,-0.6997700095911359,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
1.0383082390559424,-0.550192786608129,-1.4054204394309369,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
3.0525141882444995,3.2708277029199238,1.4171812799282668,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1.6068911959945975,-0.6910231169345915,1.4171812799282668,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
-0.6177196538047519,-0.9102666972715863,0.005880420248664987,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.047712540081475054,0.7138427177953962,0.711530850088466,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
-0.9939661589853667,-0.8155176782144313,-0.6997700095911359,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
2.866720650196507,-0.7792613195986079,-0.6997700095911359,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.3388658281522999,2.0679831436457743,1.4171812799282668,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.047712540081475054,-0.9102666972715863,1.4171812799282668,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.2401083416313228,-0.3331464241383951,0.005880420248664987,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.6682839716799283,-0.1933814320038677,-1.4054204394309369,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
-1.4109972497878036,-0.5384921050499529,0.005880420248664987,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-1.5284895803887097,0.23846381393982158,1.4171812799282668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.5648943760489924,0.1028913338456556,-1.4054204394309369,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.42429922115967555,-0.9102666972715863,0.005880420248664987,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.043266774346835,1.5997324707437248,1.4171812799282668,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
